Spreadsheet_APN,Current_APN,Jurisdiction,Units,Type,Timing,Year_Built,Issue,Parcel_Service_Notes,Date_Confirmed
029-170-001,029-170-008,CSLT,75,Deed-Restricted Affordable,"Bonus Units Reserved, Application not submitted",,Old APN not found in Parcels service,"1.23 acres, South Lake Tahoe, address unassigned",2026-09-09
015-032-029,015-032-030,EL,2,Multi-Family Dwellings,Existing - Built Pre-2012,1947,Old APN not found in Parcels service,"7009 Ninth Ave, Tahoma; service shows 0 units and no year built",2026-09-09
093-041-006,093-041-008,PL,2,Duplex,Existing - Built Pre-2012,1939,Old APN not found in Parcels service,"Dollar Point, no address on file; service shows year built 1939 but no unit count",2026-09-09
